"DISTINCTTERM","ABSTRACTNUMBER"
"date",339
"dyspnea",338
"degrees",338
"position",338
"delayed",338
"cavity",338
"colon",337
"inhibitory",337
"equal",337
"basic",337
"78",337
"stem",337
"biomarkers",336
"cytology",335
"survivors",335
"explore",334
"biopsies",334
"gastrointestinal",334
"establish",333
"74",332
"electron",332
"detailed",332
"inhibits",332
"palliative",332
"valuable",332
"search",331
"disorder",330
"smoke",330
"considerable",329
"73",329
"spectrum",328
"issues",328
"interpretation",327
"rhythm",327
"calcium",327
"sufficient",327
"extremely",326
"variability",326
"morphology",326
"characterization",326
"minor",326
"pregnancy",326
"catheter",325
"biochemical",325
"83",325
"medium",323
"real-time",323
"uncommon",322
"rest",322
"81",322
"global",322
"consisting",322
"cost",322
"analyze",321
"reverse",321
"synthesis",321
"obstruction",320
"humans",320
"recommendations",320
"estimates",320
"remission",319
"effectively",318
"simultaneous",318
"advantage",318
"term",318
"microscopy",318
"tachycardia",317
"newly",317
"masses",316
"nervous",316
"requiring",316
"closely",316
"prediction",316
"spread",316
"relapse",315
"subset",315
"fistula",315
"diet",314
"polymerase",314
"immediately",314
"thought",314
"biology",314
"stay",313
"reached",313
"82",313
"evident",312
"atypical",312
"neoplasm",312
"subgroup",311
"implantation",311
"tumorigenesis",310
"undertaken",310
"curves",310
"suppression",310
"physician",310
"inoperable",310
"nodal",309
"conduction",309
"86",309
"fact",309
"interstitial",308
"influenced",308
"79",308
"depression",308
"presents",308
"regurgitation",308
"disease-free",308
"obtain",308
"initiation",307
"countries",307
"making",307
"progression-free",307
"undergo",307
"education",307
"0.03",306
"endocarditis",306
"proportional",305
"mixed",305
"76",305
"colorectal",305
"contained",304
"protection",304
"asbestos",304
"increasingly",304
"neuroendocrine",303
"hypertrophic",303
"hypertensive",303
"bleeding",303
"radiological",303
"profiles",303
"minutes",303
"gemcitabine",302
"database",302
"contribution",302
"fully",302
"enhancement",302
"epidemiological",302
"correlations",302
"center",301
"allowed",301
"complicated",301
"achieve",300
"volumes",300
"infections",300
"consequences",299
"angina",299
"-1",299
"affecting",298
"controversial",298
"extracellular",298
"simultaneously",298
"removed",298
"worse",297
"environmental",297
"2004",297
"molecules",297
"questionnaire",297
"vein",297
"scintigraphy",297
"recombinant",296
"first-line",296
"arm",295
"courses",295
"morphological",295
"microscopic",295
"mellitus",295
"adjacent",295
"indication",294
"suitable",294
"evaluable",294
"88",294
"products",294
"migration",294
"yield",294
"programs",294
"hormone",293
"variant",293
"ventilation",293
"residual",293
"probability",292
"includes",291
"advantages",291
"comprehensive",290
"improvements",290
"mediastinum",290
"mg/m",290
"transplant",290
"schedule",290
"120",289
"department",289
"cholesterol",289
"cultured",289
"elevation",289
"resections",289
"reactive",288
"hospitals",288
"sections",288
"77",288
"measuring",287
"public",287
"87",287
"members",287
"reviews",287
"maintenance",286
"arrhythmia",286
"demonstrates",286
"institution",286
"reduces",285
"taking",285
"2005",285
"intraoperative",285
"reactions",284
"challenge",284
"linked",284
"species",284
"illness",283
"impairment",283
"decision",283
"improves",283
"cyclophosphamide",283
"extended",282
"92",282
"adhesion",282
"training",282
"full",282
"marrow",281
"predominantly",281
"maximal",281
"similarly",281
"varied",281
"gefitinib",281
"community",281
"variations",281
"original",280
"ranging",280
"excision",280
"mesothelioma",280
"thrombocytopenia",279
"dynamic",279
"polymorphism",279
"anesthesia",279
"fewer",278
"inferior",278
"technical",278
"subcutaneous",278
"0.04",278
"lipid",278
"causing",277
"options",277
"ongoing",277
"providing",276
"84",276
"correct",276
"postoperatively",275
"0.005",275
"detectable",275
"enzymes",275
"phosphorylation",275
"assigned",275
"virus",275
"histopathological",274
"subject",274
"careful",274
"glucose",274
"promoter",274
"world",273
"largely",272
"apoptotic",272
"efficient",272
"delivered",272
"generation",272
"symptom",271
"infiltration",271
"hilar",270
"device",270
"suppressed",269
"introduction",269
"2003",269
"candidates",269
"radiographic",269
"true",269
"airway",268
"pretreatment",268
"relationships",267
"questions",267
"correlates",267
"2008",266
"soft",266
"sources",266
"sputum",266
"periods",266
"intravenously",265
"implicated",265
"reasons",265
"burden",265
"blot",264
"suffering",264
"compound",264
"fever",264
"trends",264
"93",264
"expressing",264
"i.e.",264
"discovered",264
"validated",263
"efficiency",263
"hazards",263
"1999",263
"pharmacological",263
"discharge",263
"find",262
"aneurysm",262
"definitive",261
"rise",261
"external",261
"bearing",261
"childhood",261
"abnormality",261
"2001",261
"wild-type",260
"maintained",260
"sought",260
"entire",259
"explain",259
"changed",258
"host",258
"combinations",258
"150",258
"initiated",257
"i.v",257
"clinic",257
"operating",257
"success",257
"prophylactic",257
"perform",257
"2006",257
"energy",257
"place",257
"94",256
"three-dimensional",256
"chromosome",255
"white",255
"depending",255
"social",255
"96",255
"added",255
"transfer",255
"helpful",254
"indicator",254
"feature",254
"gamma",254
"1.0",253
"precise",253
"partially",253
"dose-dependent",253
"polymorphisms",253
"persistent",253
"offers",253
"1-year",253
"serial",252
"national",252
"phenomenon",252
"subtypes",252
"focal",252
"circulating",252
"concept",251
"practical",251
"anticoagulation",251
"positively",251
"agreement",251
"efforts",251
"explored",251
"middle",251
"sequential",251
"2007",250
"formed",250
"vena",250
"1.2",250
"wedge",250
"outpatient",250
"91",249
"head",249
"entered",249
"oxidative",249
"neck",248
"intermediate",248
"0.1",248
"recognition",248
"carcinogenic",248
"beginning",248
"goal",248
"aorta",247
"accurately",247
"context",247
"bronchus",247
"scale",247
"identical",247
"dietary",247
"attributed",247
"specimen",246
"hemorrhage",246
"shock",246
".001",246
"0.002",246
"focused",246
"velocity",246
"cross-sectional",245
"basal",245
"endobronchial",245
"contractility",245
"carcinoid",245
"adjustment",245
"circulatory",244
"wave",243
"emphasis",243
"natriuretic",243
"option",243
"89",243
"traditional",243
"decreases",242
"separate",242
"implanted",242
"tolerance",242
"absolute",242
"costs",242
"posterior",242
"equivalent",242
"preventing",242
"2002",242
"high-dose",241
"serve",241
"candidate",241
"cure",241
"count",241
"endogenous",241
"reflect",241
"consideration",240
"delay",240
"clinicopathological",240
"vessel",240
"encountered",240
"radionuclide",240
"offer",239
"acquisition",239
"mode",239
"antigens",238
"massive",238
"diabetic",238
"relevance",238
"validation",238
"limit",237
"clinicians",237
"indices",237
"annual",237
"emerging",237
"categories",237
"give",237
"cytometry",236
"follow",236
"gland",236
"short-term",236
"biomarker",236
"intake",236
"septum",236
"subgroups",236
"facilitate",236
"infants",236
"double",236
"promote",236
"starting",236
"yielded",236
"hybridization",235
"twenty",235
"fluorescence",235
"lowest",235
"anemia",235
"additionally",235
"summary",234
"x-ray",234
"1.4",233
"1996",233
"molecule",233
"radiography",233
"decreasing",233
"1990",232
"warranted",232
"heterogeneous",232
"preclinical",232
"algorithm",232
"mitochondrial",231
"units",231
"water",231
"ages",231
"cava",231
"express",231
"elective",231
"syndromes",231
"product",231
"1993",231
"tools",230
"immunotherapy",230
"background",230
"1998",230
"extension",229
"easily",229
"panel",229
"reveal",229
"edema",229
"unresectable",229
"tomographic",228
"modification",228
"leukemia",228
"non-invasive",228
"1.8",227
"bladder",227
"low-dose",227
"preventive",227
"displayed",227
"chemical",226
"avoid",226
"aid",226
"domain",226
"foci",226
"alter",226
"prevented",226
"environment",226
"living",225
"understood",225
"hospitalization",225
"power",225
"refractory",225
"regulatory",224
"arising",224
"limits",224
"prostate",224
"scientific",224
"neurological",223
"computer",223
"vital",223
"fetal",223
"genomic",223
"1992",223
"ablation",222
"clarify",222
"epithelium",222
"population-based",222
"exposures",221
"considerations",221
"cough",221
"inclusion",221
"introduced",221
"hypothesized",220
"assist",220
"heavy",220
"states",220
"deficiency",220
"sodium",219
"question",219
"demographic",219
"variants",219
"heterogeneity",219
"transbronchial",219
"sequencing",218
"deletion",218
"cystic",218
"decades",218
"suffered",218
"understand",218
"ml",217
"evolution",217
"extracted",217
"anatomic",217
"skeletal",217
"esophageal",217
"monitored",216
"docetaxel",216
"consistently",216
"idiopathic",216
"regulated",216
"capable",216
"medication",216
"elements",215
"pneumothorax",215
"97",215
"multicenter",215
"disturbances",215
"settings",215
"subtype",214
"2.0",214
"false",214
"characterize",214
"exist",214
"explained",213
"definition",213
"decade",213
"manifestation",213
"episodes",212
"crucial",212
"depends",212
"500",212
"resectable",211
"gastric",211
"segment",211
"macrophages",211
"400",211
"eleven",211
"mutant",211
"pleura",211
"estimation",210
"genotype",210
"atherosclerosis",210
"combining",210
"completion",210
"composed",209
"directed",209
"echocardiogram",209
"vitamin",209
"producing",209
"papillary",209
"carcinogen",209
"platelet",209
"worldwide",209
"distinguish",209
"aims",209
"prominent",208
"tube",208
"sustained",208
"step",208
"platinum-based",208
"erlotinib",207
"existing",207
"3.5",207
"access",207
"planned",207
"vector",206
"working",206
"signals",206
"1995",206
"started",206
"protocols",206
"dogs",206
"controlling",206
"minimum",205
"twelve",205
"difficulties",205
"premature",205
"greatest",205
"fixed",205
"pronounced",205
"greatly",204
"magnitude",204
"2009",204
"lethal",204
"axis",204
"filling",204
"threshold",203
"safely",203
"sampling",203
"stimulated",203
"guide",203
"attributable",202
"1997",202
"secretion",202
"terminal",202
"i.e",202
"routinely",202
".5",202
"inhibiting",201
"absent",201
"stratification",201
"accepted",201
"comprised",201
"nonsmall",201
"orally",201
"0.003",201
"poorer",201
"ischaemic",201
"overview",200
"integrated",200
"supported",200
"effort",200
"exhibit",200
"affects",199
"substantially",199
"bronchioloalveolar",199
"carcinogens",199
"0.9",198
"anatomy",198
"apical",198
"graft",198
"1.3",198
"personal",198
"morphologic",198
"modern",198
"decline",198
"video-assisted",198
"irradiated",197
"cent",197
"centers",197
"continue",197
"entity",197
"responded",197
"child",197
"devices",197
"rupture",197
"0.004",196
"reason",196
"raised",196
"fat",196
"tricuspid",196
"comparisons",196
"amplification",196
"preoperatively",196
"parallel",196
"pathophysiology",195
"stomach",195
"valves",195
"transfected",195
"propose",195
"obesity",195
"transformation",195
"heparin",194
"situation",194
"gross",194
"consequence",194
"infectious",194
"urinary",194
"tended",194
"determinants",194
"dissemination",194
"cervical",194
"thickness",194
"transplanted",193
"radiologic",193
"developments",193
"gave",193
"intrathoracic",193
"2010",193
"random",193
"ill",193
"correction",193
"enhances",193
"nausea",193
"apparently",192
"epidemiologic",192
"issue",192
"solution",192
"reconstruction",192
"demonstrating",191
"sequences",191
"effusions",191
"surrounding",191
"spatial",191
"life-threatening",191
"pulse",191
"discovery",191
"modulation",191
"disappeared",191
"home",191
"inducing",191
"chemoradiotherapy",191
"adrenal",190
"likelihood",190
"2-year",190
"attempt",190
"endoscopic",189
"space",189
